,dissimilarity,correlation,homogeneity,contrast,ASM,energy,label
1653,7.65180462314406e-06,-3.825916949170517e-06,0.9999961740976884,7.65180462314406e-06,0.999984696478579,0.9999923482100146,me
1654,1.3392528032980879e-05,0.1249933036847374,0.9999933037359836,1.3392528032980879e-05,0.999971304170195,0.9999856519807806,me
1655,3.060721849257624e-05,-1.530384345055205e-05,0.9999846963907537,3.060721849257624e-05,0.9999387869682188,0.9999693930157152,me
1656,7.65180462314406e-06,-3.825916949170517e-06,0.9999961740976884,7.65180462314406e-06,0.999984696478579,0.9999923482100146,me
1657,0.0,1.0,1.0,0.0,1.0,1.0,me
1658,0.00024971776523033173,-0.00012487447438352473,0.9998751411173847,0.00024971776523033173,0.9995006580084687,0.9997502978284852,me
1659,0.002510678686444107,0.10213796231230689,0.9987446606567779,0.002510678686444107,0.9946995550731466,0.997346252545302,me
1660,0.012747448097328785,0.15185102565067976,0.9936262759513357,0.012747448097328785,0.9723881072933644,0.9860973010228149,me
1661,0.008191869556818821,0.13431425196152974,0.9959040652215906,0.008191869556818821,0.9824129458045926,0.9911674479035348,me
1662,0.000380132239703981,0.2914765495326572,0.999809933880148,0.000380132239703981,0.9990835741086538,0.9995416819514673,me
1663,0.01379573068610587,0.12836232723027907,0.9931021346569471,0.01379573068610587,0.9705703467973494,0.9851751377266821,me
1664,0.021160009174982612,0.15362541236440225,0.9894199954125088,0.021160009174982612,0.9542930358424454,0.9768789329169941,me
1665,0.0,1.0,1.0,0.0,1.0,1.0,me
1666,0.0001939061452996563,0.10346166419216393,0.9999030469273501,0.0001939061452996563,0.9995898472561289,0.9997949025878049,me
1667,0.0011508883575351314,0.22263841492898354,0.9994245558212325,0.0011508883575351314,0.997369961393755,0.9986841132068224,me
1668,0.010372786753155379,0.41056719884314785,0.9948136066234223,0.010372786753155379,0.9721373968825153,0.9859701024881828,me
1669,7.65180462314406e-06,-3.825916949170517e-06,0.9999961740976884,7.65180462314406e-06,0.999984696478579,0.9999923482100146,me
1670,2.487023496769697e-05,0.18748756469219657,0.9999875648825162,2.487023496769697e-05,0.9999445236445557,0.9999722614361637,me
1671,2.104433265612494e-05,0.0833228110462227,0.999989477833672,2.104433265612494e-05,0.9999560009708571,0.9999780002420426,me
1672,7.65180462314406e-06,-3.825916949170517e-06,0.9999961740976884,7.65180462314406e-06,0.999984696478579,0.9999923482100146,me
1673,7.65180462314406e-06,-3.825916949170517e-06,0.9999961740976884,7.65180462314406e-06,0.999984696478579,0.9999923482100146,me
1674,7.65180462314406e-06,-3.825916949170517e-06,0.9999961740976884,7.65180462314406e-06,0.999984696478579,0.9999923482100146,me
1675,7.65180462314406e-06,-3.825916949170517e-06,0.9999961740976884,7.65180462314406e-06,0.999984696478579,0.9999923482100146,me
1676,7.65180462314406e-06,-3.825916949170517e-06,0.9999961740976884,7.65180462314406e-06,0.999984696478579,0.9999923482100146,me
1677,7.65180462314406e-06,-3.825916949170517e-06,0.9999961740976884,7.65180462314406e-06,0.999984696478579,0.9999923482100146,me
1678,7.65180462314406e-06,-3.825916949170517e-06,0.9999961740976884,7.65180462314406e-06,0.999984696478579,0.9999923482100146,me
1679,7.65180462314406e-06,-3.825916949170517e-06,0.9999961740976884,7.65180462314406e-06,0.999984696478579,0.9999923482100146,me
1680,7.65180462314406e-06,-3.825916949170517e-06,0.9999961740976884,7.65180462314406e-06,0.999984696478579,0.9999923482100146,me
1681,0.0,1.0,1.0,0.0,1.0,1.0,me
1682,7.65180462314406e-06,-3.825916949170517e-06,0.9999961740976884,7.65180462314406e-06,0.999984696478579,0.9999923482100146,me
1683,1.91332514428177e-05,0.1666570999311195,0.9999904333742785,1.91332514428177e-05,0.9999579120082436,0.9999789557771708,me
1684,2.487023496769697e-05,0.18748756469219657,0.9999875648825163,2.487023496769697e-05,0.9999445236445557,0.9999722614361636,me
1685,7.65180462314406e-06,-3.825916949170517e-06,0.9999961740976884,7.65180462314406e-06,0.999984696478579,0.9999923482100146,me
1686,1.530360924628812e-05,-7.651863173762015e-06,0.999992348195377,1.530360924628812e-05,0.9999693931328084,0.9999846964493047,me
1687,1.3392528032980879e-05,0.1249933036847374,0.9999933037359836,1.3392528032980879e-05,0.999971304170195,0.9999856519807806,me
1688,1.721843034455291e-05,0.24999139068600174,0.9999913907848278,1.721843034455291e-05,0.9999598267267933,0.999979913160263,me
1689,7.65180462314406e-06,-3.825916949170517e-06,0.9999961740976884,7.65180462314406e-06,0.999984696478579,0.9999923482100146,me
1690,7.65180462314406e-06,-3.825916949170517e-06,0.9999961740976884,7.65180462314406e-06,0.999984696478579,0.9999923482100146,me
1691,7.65180462314406e-06,-3.825916949170517e-06,0.9999961740976884,7.65180462314406e-06,0.999984696478579,0.9999923482100146,me
1692,4.78293887220867e-05,0.10711894180793621,0.999976085305639,4.78293887220867e-05,0.9998986118002589,0.9999493046026409,me
1693,7.65180462314406e-06,-3.825916949170517e-06,0.9999961740976884,7.65180462314406e-06,0.999984696478579,0.9999923482100146,me
1694,7.65180462314406e-06,-3.825916949170517e-06,0.9999961740976884,7.65180462314406e-06,0.999984696478579,0.9999923482100146,me
